Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
HYLS,First Trust Tactical High Yield ETF,Bond,"$1,154,798,308.00",5.31%,"324,873",$47.01,0.04%,No,No,0.60%,3.87%,2.49%,19.05%,19.86%,"-$57,121,995.00","-$2,341,465.50","-$18,759,311.00","-$34,456,490.00","$604,790,522.24","$1,092,755,417.77",High Yield Bonds,2013/2/27,1.10%,N/A,$2.60,2019/1/23,$0.22,5.54%,0,0.25,184,22.92%,35%,15%,1099,$45.70,$47.29,$46.91,$47.07,65.82,C+,C+,C,N/A,B-,A-,A-,N/A,N/A,N/A,N/A,N/A,N/A
HYLD,High Yield ETF,Bond,"$162,877,215.00",2.91%,"52,073",$34.43,0.44%,No,No,0.52%,2.12%,0.49%,34.91%,-2.80%,"-$3,458,945.50",$0.00,"-$3,458,945.50","$24,504,405.50","-$49,348,808.00","-$229,279,907.50",High Yield Bonds,2010/11/30,1.25%,N/A,$2.48,2019/1/28,$0.21,7.19%,0,0.35,86,44.74%,35%,15%,1099,$33.87,$34.51,$34.27,$34.55,55.83,A-,B+,C,A,B+,A+,B-,N/A,N/A,N/A,N/A,N/A,N/A
PHB,Invesco Fundamental High YieldÂ® Corporate Bond ETF,Bond,"$641,039,316.00",4.54%,"676,961",$18.41,-0.11%,No,No,0.77%,3.55%,2.20%,22.46%,19.09%,"-$207,540,312.00","$5,496,443.00","-$186,251,684.00","-$590,527,314.00","-$66,542,898.00","$13,688,099.00",High Yield Bonds,2007/11/15,0.50%,Charles Schwab,$0.85,2019/1/22,$0.07,4.63%,0,0.25,234,10.01%,35%,15%,1099,$17.85,$18.46,N/A,N/A,68.86,B,A,B-,C+,B,B+,B+,4.05,83.23%,9.06%,344.29,5.10%,3.19%
PGHY,Invesco Global Short Term High Yield Bond ETF,Bond,"$210,366,247.00",1.95%,"56,644",$23.03,-0.04%,No,No,-0.04%,1.54%,1.77%,21.36%,19.89%,"-$2,292,964.00",$0.00,"-$1,152,037.50","-$5,454,837.50","$191,268,678.50","$195,329,247.09",High Yield Bonds,2013/6/20,0.35%,Charles Schwab,$1.35,2019/1/22,$0.11,5.86%,0,0.18,430,3.73%,35%,15%,1099,$22.72,$23.16,$22.99,$23.11,58.42,A-,B-,A,N/A,N/A,B+,B+,3.55,7.01%,3.37%,345.95,4.89%,0.78%
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,Bond,"$2,392,339,032.00",3.46%,"1,088,618",$46.09,-0.58%,No,No,0.20%,2.15%,3.21%,19.60%,13.89%,"$69,413,392.00","$13,742,550.00","$113,968,488.00","-$1,262,706,346.00","$1,461,753,610.00","$2,455,828,610.00",High Yield Bonds,2013/10/15,0.30%,N/A,$2.63,2018/12/18,$0.25,5.70%,0,0.22,635,6.65%,35%,15%,1099,$45.24,$46.38,$46.02,$46.16,59.73,N/A,N/A,A+,N/A,N/A,B+,A,3.61,13.72%,3.77%,314.66,5.36%,1.47%
GHYG,iShares Global High Yield Corporate Bond ETF,Bond,"$143,419,148.00",4.04%,"44,623",$47.89,-0.52%,No,No,0.61%,3.36%,-1.79%,23.69%,11.63%,"-$32,723,039.00",$0.00,"-$23,529,211.00","-$75,306,742.00","$57,097,847.00","$69,736,847.00",High Yield Bonds,2012/4/3,0.40%,N/A,$2.59,2018/12/18,$0.42,5.40%,0,0.33,1274,3.14%,35%,15%,1099,$46.66,$48.18,$47.81,$47.95,60.71,A,B-,A-,A-,B,A-,A,3.99,78.05%,8.24%,315.03,6.53%,2.02%
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Bond,"$14,463,242,384.00",4.41%,"26,542,336",$84.68,-0.51%,No,No,0.32%,2.78%,2.44%,25.07%,18.63%,"$495,984,107.00","$513,889,299.00","$1,070,434,403.00","-$100,296,078.00","-$938,040,730.00","$1,666,717,270.00",High Yield Bonds,2007/4/11,0.49%,Fidelity,$4.49,2018/12/18,$0.39,5.33%,0,0.3,967,4.41%,35%,15%,1099,$82.78,$85.24,$84.56,$84.78,60.22,A,A,B-,B+,B,A,A,3.69,28.05%,4.44%,359.71,6.31%,1.77%
HYGH,iShares Interest Rate Hedged High Yield Bond ETF,Bond,"$209,188,985.00",4.97%,"63,284",$88.98,0.15%,No,No,0.49%,3.53%,2.72%,27.51%,N/A,$0.00,$0.00,$0.00,"-$8,200,407.00","$179,501,042.00","$219,137,042.00",High Yield Bonds,2014/5/27,0.54%,N/A,$5.47,2018/12/28,$0.83,6.15%,0,0.39,2,100.00%,35%,15%,1099,$86.50,$89.45,$88.81,$89.13,59.77,N/A,N/A,C+,N/A,N/A,A-,C,N/A,N/A,N/A,N/A,N/A,N/A
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Fund,Bond,"$1,435,210,224.00",3.47%,"378,285",$98.42,-0.34%,No,No,0.22%,2.30%,2.31%,24.11%,16.68%,"$162,162,239.00","$29,494,439.00","$205,146,781.00","-$232,059,705.00","-$485,232,431.50","-$2,008,586,866.00",High Yield Bonds,2011/6/16,0.56%,Charles Schwab,$4.73,2018/12/28,$0.32,4.79%,0,0.27,279,14.53%,35%,15%,1099,$96.71,$99.16,$98.22,$98.60,58.96,A-,A-,C+,B+,B+,B+,A-,3.6,11.59%,3.71%,271.73,5.18%,1.29%
HYHG,ProShares High Yield-Interest Rate Hedged,Bond,"$146,411,820.00",5.19%,"32,132",$65.31,0.28%,No,No,0.12%,3.21%,0.74%,29.25%,8.69%,"-$9,357,130.00",$0.00,"-$3,159,336.00","-$17,354,870.00","$56,726,458.25","$93,603,458.25",High Yield Bonds,2013/5/21,0.50%,Charles Schwab,$4.01,2018/12/26,$0.40,6.14%,0,0.45,158,15.18%,35%,15%,1099,$63.73,$66.00,$64.92,$65.51,55.84,C+,C+,C+,N/A,B-,A,B,3.69,28.35%,4.45%,433.12,7.18%,1.92%
SJB,ProShares Short High Yield,Bond,"$132,504,543.00",-4.59%,"190,018",$22.44,-0.13%,Yes,No,-0.80%,-3.15%,-2.46%,-22.12%,-23.02%,"$9,104,884.00","-$2,267,794.00","$9,104,884.00","$21,996,948.50","-$47,907,820.50","$126,182,179.50",Inverse Bonds,2011/3/21,0.95%,N/A,$0.17,2018/12/26,$0.07,0.75%,0,-0.31,966,4.12%,35%,15%,1099,$22.38,$23.07,N/A,N/A,36.96,B-,A,C+,C,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UJB,ProShares Ultra High Yield,Bond,"$3,274,348.00",10.80%,285,$66.13,1.09%,No,2x,2.39%,7.08%,4.99%,35.68%,32.09%,$0.00,$0.00,$0.00,$0.00,"$1,469,750.00","$340,500.00",Leveraged Bonds,2011/4/13,1.31%,N/A,$1.92,2018/12/26,$0.65,2.94%,0,0.51,2,100.00%,35%,15%,1099,$61.99,$65.69,$65.21,$66.59,64.6,A,B-,B+,A-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RIGS,RiverFront Strategic Income Fund,Bond,"$156,415,756.00",1.94%,"69,437",$24.42,-0.08%,No,No,0.08%,1.31%,1.86%,16.20%,19.27%,"$6,018,145.50",$0.00,"$1,207,759.50","-$202,034,021.50","-$308,457,336.50","-$7,596,908.42",High Yield Bonds,2013/10/7,0.47%,N/A,$1.09,2019/1/17,$0.08,4.45%,0,0.16,105,15.15%,35%,15%,1099,$24.11,$24.52,N/A,N/A,60.33,B+,A-,B+,B-,C+,A,N/A,3.5,1.88%,3.06%,553.41,4.63%,1.79%
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,Bond,"$3,168,167,014.00",3.30%,"3,295,769",$26.89,-0.55%,No,No,0.04%,2.17%,2.37%,23.52%,11.73%,"$478,447,479.00","$96,629,256.00","$525,207,441.00","-$1,066,414,332.00","$120,981,315.00","$352,925,492.00",High Yield Bonds,2012/3/15,0.40%,N/A,$1.48,2018/12/19,$0.13,5.51%,0,0.25,713,8.84%,35%,15%,1099,$26.43,$27.07,$26.84,$26.93,58.08,A,A,A-,B,B+,A-,A,3.7,30.79%,4.54%,352.43,5.85%,1.53%
JNK,SPDR Barclays High Yield Bond ETF,Bond,"$8,554,309,161.00",4.70%,"18,822,116",$35.17,-0.51%,No,No,0.34%,3.11%,1.57%,22.71%,12.27%,"$1,256,509,950.00","$472,687,525.00","$1,474,870,525.00","-$2,427,166,475.00","-$1,768,653,350.94","$99,417,198.28",High Yield Bonds,2007/11/28,0.40%,TD Ameritrade,$1.98,2018/12/19,$0.17,5.62%,0,0.32,848,5.87%,35%,15%,1099,$34.32,$35.44,$35.10,$35.23,60.5,A+,A+,A-,B,B,A,A,3.8,49.39%,5.65%,374.4,6.49%,1.58%
CJNK,SPDR BofA Merrill Lynch Crossover Corporate Bond ETF,Bond,"$70,946,598.00",2.69%,"14,221",$25.35,-0.71%,No,No,0.58%,2.24%,0.47%,17.69%,N/A,$0.00,$0.00,$0.00,"$7,689,918.00","$39,101,812.00","$47,339,221.00",High Yield Bonds,2012/6/18,0.30%,N/A,$1.01,2018/12/19,$0.13,3.99%,0,0.16,1081,3.95%,35%,15%,1099,$24.82,$25.44,$25.24,$25.47,61.42,N/A,N/A,A,N/A,N/A,C,A,4.44,7.01%,17.14%,417.97,9.19%,3.45%
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Bond,"$861,262,183.00",5.40%,"524,895",$28.11,-0.35%,No,No,0.86%,3.42%,-1.05%,38.42%,37.63%,"$60,754,358.50","$2,800,106.00","$60,754,358.50","-$340,998,530.50","$768,114,012.50","$842,712,602.50",High Yield Bonds,2012/4/10,0.35%,N/A,$1.60,2018/12/27,$0.14,5.71%,0,0.33,224,37.42%,35%,15%,1099,$27.38,$28.30,$28.05,$28.18,62.51,B,C,B+,A,C,A-,B+,4.14,86.89%,10.61%,335.09,5.87%,1.09%
WBII,WBI Bull|Bear Global Income ETF,Bond,"$108,479,875.00",1.29%,"38,065",$24.35,-0.08%,No,No,0.74%,0.78%,0.83%,6.38%,N/A,"-$2,413,925.00",$0.00,"-$2,413,925.00","-$36,292,265.00","-$219,473,270.00","$112,379,245.00",High Yield Bonds,2014/8/25,1.28%,N/A,$0.83,2018/12/28,$0.09,3.45%,-9899,-0.2,10,100.00%,35%,15%,1099,$23.94,$24.34,$24.32,$24.37,66.4,A,A-,B-,A,A+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,Bond,"$252,250,383.00",4.01%,"187,429",$23.21,0.22%,No,No,0.30%,2.05%,1.16%,27.74%,17.78%,"-$34,295,265.00","-$4,648,576.00","-$11,664,286.00","$120,842,613.00","$243,515,755.00","$248,949,538.76",High Yield Bonds,2013/12/18,0.43%,2 Platforms,$1.27,2019/1/22,$0.11,5.48%,0,0.29,623,13.25%,35%,15%,1099,$22.78,$23.34,N/A,N/A,55.9,N/A,N/A,B+,N/A,N/A,B-,B-,N/A,N/A,N/A,N/A,N/A,N/A
HYND,WisdomTree Negative Duration High Yield Bond Fund,Bond,"$54,741,914.00",4.19%,"36,056",$20.08,-0.25%,No,No,-0.84%,3.13%,0.51%,25.71%,3.87%,"-$1,952,781.00",$0.00,"$1,978,429.00","$42,932,543.00","$47,309,038.00","$49,514,908.36",High Yield Bonds,2013/12/18,0.48%,E*TRADE,$1.09,2019/1/22,$0.09,5.40%,0,0.4,608,18.73%,35%,15%,1099,$19.66,$20.47,$20.00,$20.25,49.72,N/A,N/A,B,N/A,N/A,B,B-,N/A,N/A,N/A,N/A,N/A,N/A
HYIH,Xtrackers High Yield Corporate Bond - Interest Rate Hedged ETF,Bond,"$6,637,817.00",3.74%,"4,048",$22.08,-0.76%,No,No,0.23%,2.13%,0.86%,26.28%,N/A,$0.00,$0.00,$0.00,"-$2,423,271.50","-$2,413,226.00","-$2,415,025.50",High Yield Bonds,2015/3/3,0.35%,N/A,$1.61,2018/12/21,$0.12,7.26%,0,0.37,3,100.00%,35%,15%,1099,$21.64,$22.34,$22.06,$22.11,53.76,N/A,N/A,B,N/A,N/A,C,C+,N/A,N/A,N/A,N/A,N/A,N/A
